node_id,PHYSICALID,ST_LABEL,geom_0,geom_1,ST_WIDTH,SHAPE_Leng
564,116812,W 93 ST,-73.96891507514707 40.79093630936249,-73.97177312483763 40.79212736046326,30.0,902.618311169
565,4072,W 91 ST,-73.97420441259402 40.791509457875584,-73.97553923972632 40.79207074224221,30.0,422.41166785800004
566,1668,GRAND ST,-73.99906145014921 40.720044300356996,-73.9985232734708 40.71978514615937,36.0,176.549839446
567,183638,WEST END AV,-73.98497627957538 40.77912497523949,-73.98447609378775 40.77980804358434,30.0,284.821644956
568,3508,MADISON AV,-73.96162831735272 40.77700280484772,-73.9611661379326 40.777635550088384,52.0,263.684493998
569,181293,W 49 ST,-73.98656138533343 40.76166012236246,-73.98941205607687 40.762857448131925,30.0,902.188802475
570,622,HUDSON ST,-74.0062942423507 40.73374204226253,-74.0061817971881 40.734439131899514,50.0,255.87638353
571,28088,E 105 ST,-73.93942820845457 40.788474112114315,-73.94055963793066 40.788949464856636,34.0,357.986938319
572,155723,AVE OF THE AMERICAS,-74.0031713648928 40.72766511926239,-74.00287382520342 40.728248844434,60.0,228.09884120200002
573,97561,W 170 ST,-73.93604128237843 40.84106789416433,-73.93543637094392 40.84075133110634,40.0,203.26585015900002
574,1763,LINCOLN TUN EN,-73.99792620249828 40.758442911082064,-73.99861513782908 40.75873738252749,20.0,218.947459918
575,2675,1 AV,-73.9601378770439 40.76210565240972,-73.9596943978706 40.7627395699299,70.0,261.598975853
576,21655,E 93 ST,-73.95406908891405 40.78466235705636,-73.95556988507181 40.785297429564565,30.0,475.67741944
577,19120,W 121 ST,-73.95011786112539 40.806379457931115,-73.95029256243458 40.806452942041226,44.0,55.279879097700004
578,235,WEST ST,-74.01016258075191 40.73316472033709,-74.01010480748744 40.73383917083653,50.0,246.24457129900003
579,1637,FRANKLIN D ROOSEVELT DRIVE,-73.99951460906166 40.70810329223748,-74.00001705186328 40.707820955869735,22.0,173.16388182900002
580,27949,E 129 ST,-73.93879245346345 40.80828004980052,-73.94040344968346 40.808958095645906,30.0,509.820175354
581,79776,LAFAYETTE ST,-74.00207771737762 40.7167308955763,-74.00255806045413 40.71618077336256,54.0,240.62732047
582,109604,FDR DR NB EN E 96 ST,-73.94385709168137 40.78281531851561,-73.94376005340628 40.78282893171743,30.0,27.327279130999997
583,79963,W 57 ST,-73.99381726222295 40.77133032970806,-73.99420752546703 40.77150541873989,16.0,125.515481971
584,1065,LEROY ST,-74.00430267333925 40.73044666130833,-74.00281922078265 40.73091352144576,20.0,444.938539639
585,23417,E 37 ST,-73.97212474231745 40.745681337557805,-73.97219728267672 40.74571206599695,40.0,23.007749674099998
586,19183,ADAM CLAYTON POWELL JR BOULEVARD,-73.95400505145118 40.80131895930336,-73.95447080228976 40.80069118741136,44.0,262.564524625
587,79617,BARCLAY ST,-74.01171520263483 40.7136577916236,-74.01232736561012 40.71394077033145,46.0,198.567985912
588,1307,10 AV,-74.00595977647542 40.74523098453932,-74.00553403975499 40.74581556922933,60.0,243.471085093
589,724,BEEKMAN ST,-74.00647921474724 40.71123006277279,-74.00676736857902 40.711502063795464,25.0,127.28791630799999
590,1088,DUANE ST,-74.0083783124243 40.71658749108076,-74.0070972885244 40.71599826551065,32.0,414.960487002
591,3536,MADISON AV,-73.94808516529754 40.795536417729416,-73.94764528211479 40.796156318503215,52.0,256.622500272
592,21820,E 64 ST,-73.96590033909382 40.76535728318585,-73.96429790392955 40.764681987117925,30.0,507.51499330300004
593,1040,AVE OF THE AMERICAS,-74.0052483221556 40.721024758564546,-74.00530713126648 40.721726315600975,46.0,256.118113498
594,113650,1 AV,-73.96932031435995 40.74951697434028,-73.96890797232675 40.750112443247694,64.0,245.192802498
595,1366,7 AVE,-73.98373015419746 40.76045708831885,-73.9841736875004 40.75984159241592,60.0,255.702110045
596,2804,WEST END AV,-73.98999457585532 40.77224100055045,-73.98953785950759 40.77286366920655,35.0,259.745022655
597,103777,1 AV LOOP,-73.98004239722 40.732336898356394,-73.9814301350934 40.73258729015461,30.0,442.944329906
598,2478,PARK AV,-73.97914760759558 40.75025769593942,-73.97959731996245 40.749642604854564,36.0,256.409130658
599,19384,LENOX AV,-73.94650296900745 40.806503033349266,-73.94695250751785 40.80586106880289,30.0,264.93862392299997
600,92372,W 127 ST,-73.94460035574774 40.80909688437048,-73.94728699281599 40.81024118174625,30.0,852.609532247
601,155412,BROADWAY,-73.91400985483267 40.871160593362404,-73.91326815600783 40.871723723497624,40.0,290.174452192
602,24918,9 AV,-73.91801418260418 40.86239408281557,-73.91755539185955 40.86301975856869,20.0,260.900947072
603,79946,W 13 ST,-73.99411856911257 40.73531264015104,-73.99734132833476 40.73666788885814,30.0,1020.52655215
604,173024,AVE OF THE AMERICAS,-73.98729377052082 40.750451608823525,-73.98684991132667 40.751081678896725,68.0,260.42175676
605,117415,E 120 ST,-73.93158296243845 40.79777430877505,-73.93126733604502 40.797640564752385,50.0,100.05596653100001
606,181296,E 6 ST,-73.98163135273893 40.724491395570304,-73.97928008247167 40.72350534029216,30.0,744.1838212560001
607,135960,6 DR,-73.92244828500463 40.78584667908025,-73.92221239171414 40.78615522746308,20.0,163.83242706
608,16682,W 31 ST,-73.99484363830837 40.750293308962874,-73.99768108392136 40.751487641703214,35.0,898.555931381
609,2355,PARK AV,-73.9657977000289 40.76858763895661,-73.96625390645266 40.767960878691895,42.0,260.983394114
610,19110,E 14 ST,-73.98255629297816 40.731350134052,-73.98037380354671 40.730393290040865,25.0,701.586536751
611,1099,8 AV,-74.00482959331325 40.73754746980004,-74.00417529783721 40.73813434703315,54.0,280.348471321
612,2288,COLUMBUS AV,-73.9815726601133 40.77360207360507,-73.98207933930414 40.77299071196187,60.0,263.263424579
613,79432,QN MDTWN TUN APPR,-73.97474815229286 40.74517431269186,-73.9743301270134 40.745804307666624,32.0,257.098581357
614,79855,W 14 ST,-73.993616883955 40.73600449161603,-73.99683993926492 40.737360888895616,26.0,1020.79278054
615,19483,YORK AV,-73.94662849542544 40.77660407056007,-73.9461705517457 40.77723138198687,30.0,261.384566302
616,3274,RIVERSIDE DR,-73.98122854594374 40.78691628119526,-73.98114267893988 40.787694137995885,22.0,284.395644755
617,2836,BROADWAY,-73.98206011283871 40.77216094100989,-73.98207933930414 40.77299071196187,40.0,302.361284266
618,83056,W 182 ST,-73.93046666787257 40.848697460909676,-73.93191679011966 40.849308597996995,35.0,458.83876663300003
619,82994,W 155 ST,-73.94833972595349 40.834111996789865,-73.94592558162041 40.8328064897023,28.0,842.0907159860001
620,803,CHRISTOPHER ST,-73.99965310409642 40.734069719488176,-74.00035679133013 40.733972788971094,24.0,198.191085626
621,527,BROADWAY,-73.99284075752047 40.73007894976501,-73.99326163136097 40.729579840947,42.0,216.03906650099998
622,83044,E 110 ST,-73.94764528211479 40.796156318503215,-73.94884558971012 40.79670442316843,30.0,387.721529335
623,2944,BROADWAY,-73.95084005388661 40.82571548146124,-73.95034568246736 40.82638562576444,40.0,279.88034123
624,3150,RIVERSIDE DR,-73.96023645510236 40.81812306908244,-73.9599968262278 40.81844757067498,30.0,135.561756206
625,2712,1 AV,-73.94238065867413 40.786425994490926,-73.94193736528064 40.78706467082482,70.0,263.086746266
626,131874,HARLEM RIVER DR,-73.9346902255395 40.828159554208746,-73.93497495575144 40.830226177147786,34.0,757.0821656830001
627,1814,LINCOLN TUN EN,-73.99703684569552 40.754582881424184,-73.99650140532407 40.75500858964468,24.0,214.620909926
628,24915,9 AV,-73.91937975672718 40.86052716698118,-73.91892787239479 40.86114195749828,20.0,256.508376833
629,3127,RIVERSIDE DR,-73.96704704679723 40.80762157269366,-73.96744703416178 40.80702801514531,30.0,242.95472271
630,83001,GW BR APPR,-73.94395459853523 40.843749365564015,-73.94436232958444 40.84364645632582,15.0,143.46047067799998
631,564,HOLLAND TUN EXIT,-74.00793752214169 40.72351608921839,-74.00784146059635 40.7234343199759,28.0,39.9560440469
632,139503,E 115 ST,-73.94535906364975 40.799286861916826,-73.94697366807029 40.79996170291021,50.0,510.18312422599996
633,2459,PARK AV,-73.93839518220315 40.80566746534346,-73.93795348089954 40.806295722742156,30.0,259.511248458
634,176967,W 181 ST,-73.94195260957787 40.851711967983434,-73.9413218789735 40.85125589199394,30.0,240.953498543
635,67980,LINCOLN TUN APPR,-73.99770590216531 40.754849536752474,-73.9982756408461 40.75436676777304,20.0,239.45088536900002
636,122,WATER ST,-74.00739218847701 40.70518268851541,-74.00676557713751 40.705623797492336,30.0,236.665780668
637,525,BROADWAY,-73.99374703096086 40.72900729795778,-73.99425278493557 40.72841245727644,42.0,258.101302237
638,23354,E 56 ST,-73.96341112078444 40.75763731373286,-73.96115734248501 40.75668759681039,34.0,713.8573712919999
639,178626,MANHATTAN BR,-73.99010118559318 40.70633575860172,-73.98942993422666 40.70514924757463,17.0,470.64206887800003
640,2500,PARK AV,-73.97848503384273 40.75078824180852,-73.97801416859437 40.751398696174434,32.0,257.848233989
641,23275,E 72 ST,-73.95599908713845 40.76780389217403,-73.95374895626541 40.766852385102936,27.0,713.20754385
642,1246,CORTLANDT AL,-74.0018315425285 40.71830880909061,-74.0012727340626 40.718961425440774,18.0,283.775959804
643,82183,E 57 ST,-73.96292448628616 40.7583089888665,-73.9606713044117 40.75736416135117,30.0,712.8454148710001
644,899,11 AV,-73.99280590385855 40.76838243932267,-73.99234969573426 40.769004972927,34.0,259.636959812
645,3433,LEXINGTON AV,-73.93837150225394 40.80307146802339,-73.93882902162521 40.80244428926615,38.0,261.262251382
646,181539,E 88 ST,-73.9507922917517 40.779179704150806,-73.94842272584492 40.77818264051606,30.0,750.0917039369999
647,173193,RIVERSIDE DR,-73.9769469595392 40.79287138865133,-73.97657376709182 40.79332861383975,14.0,196.03039833
648,75930,BRONX SHORE RD,-73.92514132037748 40.80011710309474,-73.9252513659811 40.799793994180874,24.0,131.522137438
649,136544,DRIVEWAY,-73.92906114519266 40.785327474558166,-73.92789110616485 40.78586577755915,11.0,378.745595246
650,77737,ED KOCH QUEENSBORO BRG,-73.96164363263814 40.76005959223697,-73.96295596221276 40.760717912696215,15.0,437.499321054
651,183558,CLAREMONT AV,-73.9621056178172 40.81225155784538,-73.96069039858864 40.8141868679559,20.0,806.619637858
652,26969,HAVEN AV,-73.94245911123289 40.844600612144276,-73.94269564975372 40.84390197469028,42.0,262.818771039
653,2547,PARK AV S,-73.98503795439282 40.74211124346627,-73.9854825727716 40.74149398504799,30.0,256.425485106
654,16644,E 9 ST,-73.98485763110226 40.72817683342468,-73.9872497770919 40.72918616120114,30.0,758.161198515
655,140789,ED KOCH QUEENSBORO BRIDGE EXIT,-73.96337436770814 40.76079328267358,-73.96388310434611 40.76123328609299,22.0,229.805444367
656,2151,2 AV,-73.95786679270606 40.76948404767775,-73.95836533252375 40.768797733573905,60.0,285.644829049
657,27933,ST NICHOLAS PL,-73.94244294196795 40.827202828011124,-73.94199730230376 40.827822656238745,28.0,257.309083693
658,81882,W 94 ST,-73.97284345407432 40.793398349805024,-73.97263404164676 40.79330575559996,30.0,67.0859912117
659,1812,LINCOLN TUN EN,-73.99638705492546 40.75510072557222,-73.99606346043333 40.75531973575119,20.0,120.018212535
660,81161,E 15 ST,-73.98828600367445 40.73465900202809,-73.98986198938151 40.73532609918468,30.0,499.83097799
661,68152,DYER AV,-73.99531893221234 40.75697824936574,-73.99526203659921 40.757059094552716,15.0,33.4070096751
662,201,12 AVE,-74.00162163509579 40.76134698788211,-74.0010358752528 40.76196835175671,52.0,281.072672126
663,19528,E 70 ST,-73.95257287478016 40.76464510443703,-73.95244049397124 40.76458452715985,16.0,42.8878843105
664,16671,DIVISION ST,-73.99282173481265 40.714365229949685,-73.99301588419168 40.71435562467348,34.0,53.9359520909
665,19583,E 102 ST,-73.94432146712863 40.78805565986126,-73.94193736528064 40.78706467082482,30.0,752.4750779569999
666,68005,LINCOLN TUN APPR,-73.99650140532407 40.75500858964468,-73.99626976324478 40.75505381472664,20.0,66.258308332
667,26868,CRAIG RD N,-74.0193165217244 40.693178036329,-74.02059170203096 40.691506382206654,12.0,741.35823799
668,95982,FAIRVIEW AV,-73.92972590135092 40.85737917240956,-73.93147477702905 40.85685089772358,20.0,531.972181073
669,75851,PAYSON AV,-73.92700250593165 40.86795125961618,-73.92872643202398 40.86674142771849,22.0,649.341560825
670,887,11 AV,-73.99782085896231 40.761499533230705,-73.99831211272858 40.76082206902134,70.0,281.85436120599996
671,78606,BROOKLYN BR,-74.00020612006661 40.708834714870335,-74.00122412049173 40.709657019213836,28.0,411.59412437599997
672,2636,1 AV,-73.96688157194046 40.75254455635181,-73.96662775999988 40.75292401018014,25.0,155.10458997
673,3149,RIVERSIDE DR,-73.96035728942506 40.81795912142203,-73.96023645510236 40.81812306908244,30.0,68.4582537479
674,131444,E 135 ST,-73.93494075097765 40.81172917744646,-73.93486087323949 40.81169692423778,34.0,25.0400107534
675,79789,LAFAYETTE ST,-73.99527643757585 40.7251492401804,-73.99464787365899 40.72593130476879,48.0,333.97394068200003
676,116292,1 AV,-73.9521862196406 40.77301984451669,-73.95172338270758 40.773656531918604,70.0,265.032701838
677,1300,10 AV,-74.00278526979143 40.7495923195851,-74.00233168691736 40.75020825764865,68.0,257.201219834
678,28159,FT WASHINGTON AV,-73.94306494266053 40.84019341748002,-73.942278965801 40.84215434246939,21.0,746.8048685360001
679,79968,E 46 ST,-73.97651569446165 40.754974262842524,-73.97589877697013 40.75471422269568,34.0,195.42021879
680,2596,1 AV,-73.98859501508879 40.72299697823551,-73.98843048082284 40.723259838234846,74.0,106.072862483
681,91614,BENSON PL,-74.00330379192702 40.7165173289535,-74.00280679175283 40.717092308947386,14.0,250.72828799599998
682,72528,W HOUSTON ST,-74.00859272105114 40.72891527738502,-74.00934962020499 40.728987556400384,34.0,211.428813684
683,26837,CLAYTON RD,-74.01987779499554 40.69107841248977,-74.01936657020615 40.691070719347735,16.0,143.287154515
684,3336,E HOUSTON ST,-73.99342727584315 40.72450744651598,-73.9941474575592 40.72476435573486,44.0,220.473617589
685,2715,1 AV,-73.94101912728219 40.78831941307933,-73.94055963793066 40.788949464856636,70.0,262.454805264
686,3058,BROADWAY,-73.92310987992958 40.86701558130157,-73.92121314408335 40.867692784202895,30.0,579.732909386
687,491,BROADWAY,-74.01101198470016 40.708594022055436,-74.01124834965124 40.70830470124541,38.0,124.117851486
688,79718,SOUTH ST,-73.99177948584878 40.70982655569248,-73.9897897072078 40.7100930417985,30.0,560.123661597
689,3368,LEXINGTON AV,-73.9696250019281 40.76025143953729,-73.97008100827817 40.75962490639912,56.0,260.891566759
690,3422,LEXINGTON AV,-73.94440664207039 40.79480843746343,-73.94486588614771 40.7941786321455,38.0,262.338101434
691,28070,AUDUBON AV,-73.93339357491492 40.84729045784423,-73.93330616987143 40.84741235679627,21.0,50.569149115500004
692,79820,W 34 ST,-73.99760199832636 40.75392897475709,-73.9981675773368 40.75417322917994,30.0,180.20310052
693,136793,BRONX SHORE RD,-73.92049054081485 40.79817551349466,-73.92059404924075 40.79823910394245,24.0,36.8521769566
694,24910,HARLEM RIVER DR,-73.92916234850014 40.79751990235411,-73.92914754208628 40.79941847024326,30.0,693.880512387
695,1891,LINCOLN TUN EXIT,-73.99590009005531 40.756825618196515,-73.9953473387857 40.75686189638279,12.5,157.398485744
696,1515,FRANKLIN D ROOSEVELT DRIVE,-73.9632684032154 40.753458752632895,-73.95996801658349 40.757078368947106,24.0,1617.1866185000001
697,3387,LEXINGTON AV,-73.96078301110701 40.77237298174334,-73.96124473255776 40.771738373671525,50.0,264.221376416
698,2227,2 AV,-73.98270105748783 40.73543184572241,-73.98311380691291 40.73483804730168,58.0,244.71857614900003
699,67882,E 20 ST,-73.97450081234906 40.73267282959003,-73.97441189288111 40.73259219643926,27.0,38.3448254348
700,146438,12 AVE,-74.00765198030831 40.74846427617658,-74.00768203466184 40.748672005414946,32.0,76.1391976429
701,898,11 AV,-73.99326422360895 40.76775770687903,-73.99280590385855 40.76838243932267,34.0,260.62205057799997
702,2930,BROADWAY,-73.94386764895397 40.83526690014469,-73.94341184343135 40.835890188107605,40.0,259.763397704
703,72712,E 58 ST,-73.96864226119885 40.76159996067614,-73.96704462733977 40.760926423547524,32.0,506.06282192099997
704,3850,AMSTERDAM AV,-73.95318575550459 40.8176003986958,-73.95272074171945 40.81823557682195,30.0,264.80375063599996
705,99,PEARL ST,-74.00340211319343 40.70808367448464,-74.0025025396944 40.708845629044,30.0,373.18252263
706,133404,W MAIN ST,-73.95522764048853 40.75728180434477,-73.95482181308137 40.75784407421468,28.0,233.678377108
707,1043,AVE OF THE AMERICAS,-74.00517420268149 40.71900459441561,-74.00518616200306 40.719837466504934,60.0,303.458953035
708,183,12 AVE,-73.99420752546703 40.77150541873989,-73.99365606188508 40.772145962401034,20.0,279.985916889
709,79436,QN MDTWN TUN APPR,-73.97493633191928 40.74607779620352,-73.97397595880821 40.745902245427686,26.0,275.101168872
710,135887,KEHAYAS CT,-73.9197988840469 40.791919772671676,-73.91997627615258 40.79175704664265,10.0,76.9912697914
711,131343,HARLEM RIVER DR,-73.93424366254554 40.81484390742875,-73.93423115122356 40.81500759650585,30.0,59.7382662976
712,3749,W 83 ST,-73.97359627217766 40.784538128510555,-73.97643948305863 40.785734899136216,30.0,900.030413275
713,16716,RIVINGTON ST,-73.98591092388061 40.71933897328667,-73.98675136728573 40.719592845870956,24.0,250.66003600099998
714,4073,W 91 ST,-73.97400709768398 40.791425946357364,-73.97420441259402 40.791509457875584,30.0,62.5378657573
715,23409,E 40 ST,-73.97538295902203 40.749483057967986,-73.9745159266883 40.74911701143847,30.0,274.768586575
716,103048,CONNECTOR,-73.98051595607484 40.73413497072059,-73.98035901523396 40.73405899509103,30.0,51.562397152399996
717,16543,MN BR APPR,-73.99436695385631 40.7137120856892,-73.9940008621257 40.71306223183097,22.0,257.596960905
718,24994,W 211 ST,-73.91841463824066 40.86758393351816,-73.91975401196312 40.8681143785538,30.0,417.82962198800004
719,1392,W 29 ST,-73.98684539299403 40.745300726083364,-73.98859130751474 40.746036418819365,32.0,553.06753296
720,86,PEARL ST,-74.00945463868723 40.70452785694509,-74.01049611003593 40.70380470056573,20.0,390.89464021
721,82477,FT GEORGE AV,-73.92739569711992 40.85715220130604,-73.92826617458935 40.856808128117244,30.0,271.475147673
722,21756,E 99 ST,-73.94197008908824 40.7845901995353,-73.94331889400128 40.78517329737261,40.0,429.70937193
723,81215,E 27 ST,-73.98184111105262 40.74157423272995,-73.98291180101367 40.742025939927636,36.0,339.281626844
724,3148,RIVERSIDE DR,-73.96068717867509 40.81751051664535,-73.96035728942506 40.81795912142203,30.0,187.219568049
725,26839,CLAYTON RD,-74.02018744549781 40.691262234521545,-74.02059170203096 40.691506382206654,11.0,143.10879612899998
726,311,WEST ST,-74.00889339864398 40.7423841671892,-74.00941672589 40.740467369309144,32.0,715.065849097
727,82481,W 215 ST,-73.91520058099616 40.869558426250414,-73.91587020885197 40.869845697575066,30.0,212.73105418900002
728,2647,1 AV,-73.96895616191352 40.750131243461254,-73.96847711159285 40.75078352449809,22.0,272.20140121599997
729,95950,E 29 ST,-73.98355673669751 40.74391628754391,-73.98368547138749 40.74396984992153,30.0,40.6748439614
730,2986,BROADWAY,-73.96981384804263 40.79717604839357,-73.96935443193911 40.79779606503225,40.0,259.245128616
731,28004,CROSS BRONX EXPY,-73.94232570731909 40.84977366661328,-73.94245422281486 40.84979938601055,30.0,36.7689057422
732,4078,W 85 ST,-73.97551278660288 40.78700246733499,-73.97696514116365 40.78761527851892,30.0,459.999510752
733,2205,2 AV,-73.93218367872481 40.80467056645038,-73.9324129069313 40.80441537406221,40.0,112.56884927799999
734,141063,E 116 ST,-73.93315697253854 40.79505357133678,-73.9324160488044 40.79474099208443,30.0,234.64139372
735,158103,BK BR APPR,-74.0059429450767 40.71195568008038,-74.004192966167 40.71167093209825,20.0,530.146173649
736,1866,PRINCE ST,-73.99778508864235 40.72423489374816,-73.99858533187148 40.724632346204935,26.0,264.892967403
737,174203,W 33 ST,-73.99111010109485 40.75031906981026,-73.99394825725942 40.75152222166008,40.0,900.287932175
738,1086,DUANE ST,-74.00658647809979 40.715766360243755,-74.00541948410375 40.71523605655239,32.0,376.81173754199995
739,79971,E 46 ST,-73.97258875034512 40.75331788786758,-73.97034144765342 40.75237878861643,34.0,710.452838867
740,852,W 12 ST,-74.00981442054704 40.73756637869866,-74.00820601813598 40.73755381659154,28.0,445.751386841
741,79988,W 66 ST,-73.98724033660339 40.776016935068654,-73.98842977683475 40.776530927551924,25.0,378.937051998
742,136143,I RD,-73.92347193077885 40.79097231407915,-73.9223277788993 40.790443451302984,12.0,370.81187534300005
743,175945,EAST DR,-73.95558963113149 40.791732335604266,-73.9550422996719 40.792771372853004,42.0,440.46184812
744,1418,9 AV,-73.99123062436831 40.760354147633606,-73.99168501973315 40.7597289155122,70.0,260.260694117
745,2458,PARK AV,-73.93889372928554 40.804995382717024,-73.93839518220315 40.80566746534346,24.0,281.082500116
746,65957,ALEX HAMILTON BR,-73.93159109211376 40.8459743597059,-73.93100029976864 40.8457990602348,25.0,176.10545196900003
747,155485,BROADWAY,-73.90685372865197 40.876663675526935,-73.90700566976555 40.87658631711595,28.0,50.59598901060001
748,72664,ELDRIDGE ST,-73.99062919853361 40.72076590651813,-73.99004036994961 40.72192079654016,24.0,451.310250354
749,79724,GOLD ST,-74.0068377870997 40.707857835737876,-74.00745861058397 40.70721929871762,14.0,292.040047055
750,127790,BATTERY PL,-74.01428922948978 40.70454907535253,-74.014961252156 40.70475979724391,34.0,224.581363058
751,148363,W 145 ST BR,-73.93383000762117 40.81949109508548,-73.93431276885973 40.819629866346794,27.5,143.746690731
752,145113,AV C,-73.97404958677312 40.73099507262757,-73.97462419758757 40.73018116614546,25.0,336.591209877
753,19611,ST NICHOLAS AVE,-73.94607828740423 40.821263215559654,-73.94475648879201 40.82403155625456,30.0,1072.90422339
754,99658,WAVERLY PL,-73.99556245450492 40.73071521466883,-73.99482160118637 40.73034986559786,32.0,244.70044483400002
755,168151,E 122 ST,-73.9372275224425 40.80176901708943,-73.93498471280324 40.80082021337095,30.0,710.68053635
756,118,WATER ST,-74.01034630582497 40.703268477594165,-74.0089875528631 40.704084827772476,29.0,479.98819072599997
757,181514,W 104 ST,-73.9695044719615 40.80032999290875,-73.96829895131545 40.7998238847061,30.0,381.314145105
758,75898,CENTRAL RD,-73.91968073406687 40.79783108413137,-73.91984584547448 40.797899927185355,24.0,52.1544158542
759,28174,FT WASHINGTON AV,-73.93908579107986 40.84892656730323,-73.93903673892929 40.84905210947927,30.0,47.7115674544
760,810,PERRY ST,-74.00334159956924 40.73553895851734,-74.0017691600302 40.735761688823445,24.0,443.265249812
761,2000,5 AV,-73.95439919191332 40.78977490816514,-73.95481723816654 40.7892047443701,42.0,237.807447783
762,3431,LEXINGTON AV,-73.93928688819672 40.801816379079625,-73.93974668160551 40.8011854331433,38.0,262.769052323
763,2978,BROADWAY,-73.96749722998976 40.80289462395369,-73.96704420732787 40.803530654708844,40.0,263.49234669
764,19834,HAMILTON PL,-73.9496933022249 40.82360400028122,-73.95049545345547 40.82311956498534,30.0,283.618729526
765,4215,BROADWAY,-73.98686557841317 40.75431781872822,-73.98708862643275 40.75360671479692,60.0,266.346348403
766,26867,CRAIG RD N,-74.02059170203096 40.691506382206654,-74.0213608406252 40.69077810512687,19.0,340.435760034
767,135451,WARDS MEADOW LP,-73.92973577142186 40.784220049965896,-73.92987263950575 40.78419080032205,16.0,39.3725598171
768,1489,FRANKLIN D ROOSEVELT DRIVE,-73.97631389442623 40.7149753447391,-73.97559485907036 40.71636947424602,30.0,545.824472422
769,82667,W 156 ST,-73.94543599036172 40.833479045891465,-73.94523751958096 40.8333962953361,40.0,62.6537623346
770,472,GREENWICH ST,-74.00702854621122 40.73481383836426,-74.00698045530359 40.7350021648202,38.0,69.8956764296
771,73527,W 137 ST,-73.93983549785523 40.81537170270472,-73.9399732803816 40.81542979360113,15.0,43.6173367334
772,19836,HAMILTON PL,-73.94891101733357 40.82409816086668,-73.9496933022249 40.82360400028122,30.0,281.586694285
773,3608,W 86 ST,-73.97639013927339 40.788269586468694,-73.97660140057228 40.788358159726876,30.0,66.81226206640001
774,19238,FREDERICK DOUGLASS BOULEVARD,-73.95586271534145 40.80374449517244,-73.9553684567402 40.804419865350525,25.0,281.548846517
775,77787,CENTRAL RD,-73.91887256186268 40.79736133096703,-73.91918922689051 40.79720409315954,24.0,118.380422219
776,776,FULTON ST,-74.00432857285517 40.70782349527981,-74.0048166002164 40.70839029098938,21.0,246.88009159
777,194,12 AVE,-73.99757475630608 40.76548940089353,-73.99712927258527 40.76610135539953,48.0,254.82767706599998
778,4309,E 17 ST,-73.98738718501711 40.73587893289767,-73.98895640543074 40.736532521036,30.0,495.804090397
779,3822,AMSTERDAM AV,-73.96757916846093 40.79786706092127,-73.96712019330276 40.79850479134398,60.0,264.831607445
780,1488,FRANKLIN D ROOSEVELT DRIVE,-73.97559485907036 40.71636947424602,-73.97487437771306 40.71877914677743,20.0,902.438516271
781,2349,PARK AV,-73.9629714128472 40.77246381009269,-73.96343403487558 40.77183374103453,42.0,262.896905591
782,2066,W 75 ST,-73.98142057922117 40.78107317512965,-73.98306206491732 40.78175761592776,30.0,518.4988274780001
783,89945,W 142 ST,-73.95175395615833 40.82447025697705,-73.9496933022249 40.82360400028122,30.0,651.820630455
784,81877,E 81 ST,-73.9540926565992 40.774656257285,-73.9563349232549 40.775600783380526,30.0,710.0050540689999
785,75953,HENRY HUDSON PARKWAY ET 10 SB,-73.98324760957425 40.78717826033576,-73.98450035826563 40.78595377201698,22.0,579.914651339
786,79793,LAFAYETTE ST,-73.99363904965723 40.727289211431646,-73.99314657002448 40.72786720197938,54.0,250.949771817
787,155923,W 35 ST,-73.98715269885706 40.750392442224076,-73.98729377052082 40.750451608823525,30.0,44.6369631578
788,79281,HENRY HUDSON PARKWAY ET 11 SB,-73.9767497487285 40.79599660597884,-73.97846821911632 40.79445832766456,22.0,812.3811929560001
789,183084,W 40 ST,-73.99482295882979 40.757672778739774,-73.99356194743301 40.75714385777021,35.0,398.976388191
790,1151,BEDFORD ST,-74.00462631607512 40.73100324402076,-74.00493928476156 40.73154357164205,24.0,215.12068501
791,67434,ALLEN ST,-73.99097422210399 40.718347930139565,-73.99142272692859 40.71741757592167,30.0,361.038876076
792,80054,W 21 ST,-73.99941604375506 40.74400700515038,-74.00226475671107 40.745206847278745,30.0,902.3242998869999
793,2909,BROADWAY,-73.94360977515329 40.83597199616645,-73.94406666854084 40.835341107398776,40.0,262.332626261
794,19344,LENOX AV,-73.94491601851742 40.80841350327902,-73.94445688352702 40.80903614863913,30.0,260.031882582
795,26998,W 166 ST,-73.93923947617579 40.83929546176079,-73.93778083485752 40.838686986174125,40.0,460.48635431400004
796,92203,E 18 ST,-73.9853608019401 40.7357899305862,-73.98311380691291 40.73483804730168,30.0,712.775855093
797,2994,BROADWAY,-73.97354474925035 40.79205057194146,-73.97308319771311 40.79267813837532,40.0,261.93798199099996
798,175307,NAGLE AVE,-73.92476434210928 40.861630892688694,-73.92541828595387 40.861349940649156,30.0,213.251511635
799,23346,W 96 ST,-73.97321056500115 40.795252025077524,-73.97501632874948 40.79601761210653,30.0,572.5271264080001
800,4280,FORSYTH ST,-73.9915054447527 40.721027599402504,-73.990914297147 40.7221811971916,34.0,451.10423177300004
801,2084,AV C,-73.97515844303665 40.73597175904452,-73.97511055362192 40.73539025468272,16.0,212.275630533
802,66022,LEWIS ST,-73.9799619880113 40.71397269930172,-73.97949553915734 40.71488988624976,29.0,358.30603323599996
803,635,HOLLAND TUN EN,-74.00836102239059 40.7258414616344,-74.00910673607578 40.725914058203344,28.0,208.377252871
